  , H                     , Zn                    , Zn(OH)2(aq)           , Zn(OH)3-              , Zn(OH)4--             , ZnOH+                 , Zn++                  , Na+               , NO3-              , Fe+++                 , Fe++                  , O2(aq)            , H_sorbed             , Zn_sorbed
30, 1e-06                 , 1.584893192461114e-06 , 2.387615324105672e-12 , 9.682041090117277e-18 , 3.6049783817004265e-24, 7.411434567039646e-10 , 1.309943305533994e-06 , 0.0999962024808607, 0.1000000031975435, 2.5916585150937345e-12, 2.9292529539603004e-14, 0.0002464700284436, 6.41462856186349e-05 , 2.74206600006332e-07
31, 5.62341325190349e-07  , 1.584893192461114e-06 , 5.9234361137461426e-12, 4.2743196811386685e-17, 2.8320001148097423e-23, 1.0332862466788414e-09, 1.0263129052588502e-06, 0.09999730867046  , 0.1000000031975435, 4.599437194490856e-13 , 9.250705383491826e-15 , 0.0002464700284388, 5.17077480418284e-05 , 5.57541271845267e-07
32, 3.162277660168379e-07 , 1.584893192461114e-06 , 1.2105270573540412e-11, 1.5543771954772618e-16, 1.8326141953005157e-22, 1.186676923868884e-09 , 6.623729204759153e-07 , 0.099998350260006 , 0.1000000031975435, 8.16277231089224e-14  , 2.9214393855642534e-15, 0.0002464700284374, 4.05629148616112e-05 , 9.21321618384064e-07
33, 1.7782794100389227e-07, 1.584893192461114e-06 , 1.9908057087802303e-11, 4.548551794503686e-16 , 9.542230680660122e-22 , 1.0967919521456138e-09, 3.440579557838944e-07 , 0.0999991823766012, 0.1000000031975435, 1.4489375895721788e-14, 9.227234868527137e-16 , 0.0002464700284369, 3.07943349835043e-05 , 1.23971860517299e-06
34, 1e-07                 , 1.584893192461114e-06 , 2.729604880339589e-11 , 1.1098035057466612e-15, 4.1430940737612825e-21, 8.450706049587168e-10 , 1.489697628807426e-07 , 0.0999997206344299, 0.1000000031975435, 2.5712428862684187e-15, 2.913850098281173e-16 , 0.0002464700284368, 2.2374571114067e-05  , 1.43505108863441e-06
35, 5.6234132519034905e-08, 1.584893192461114e-06 , 3.337729570274805e-11 , 2.4155295600047203e-15, 1.6051143239546888e-20, 5.80536408316094e-10  , 5.749362638849973e-08 , 0.1000000576232389, 0.1000000031975435, 4.5593026956482e-16   , 9.196814359998101e-17 , 0.0002464700284366, 1.50851133822191e-05 , 1.52678565865003e-06
36, 3.162277660168379e-08 , 1.584893192461114e-06 , 3.852338104791706e-11 , 4.963991424696544e-15 , 5.873137411814578e-20 , 3.763201138953277e-10 , 2.0931600869863463e-08, 0.1000003434889986, 0.1000000031975435, 8.077233925907084e-17 , 2.9009944249194866e-17, 0.0002464700284365, 8.63359887039685e-06 , 1.56354674297418e-06
37, 1.7782794100389228e-08, 1.584893192461114e-06 , 4.334090367946237e-11 , 9.946006083989752e-15 , 2.095715021717945e-19 , 2.3773173230253444e-10, 7.424862904483809e-09 , 0.1000007139374572, 0.1000000031975435, 1.429984383473029e-17 , 9.146591501037812e-18 , 0.0002464700284364, 2.73548795473875e-06 , 1.57718724448612e-06
38, 1e-08                 , 1.584893192461114e-06 , 4.830055389020074e-11 , 1.9741022971628944e-14, 7.408330959244227e-19 , 1.4875619216073638e-10, 2.608616844469343e-09 , 0.1000013143613602, 0.1000000031975435, 2.531237166019059e-18 , 2.8835462240828153e-18, 0.0002464700284364, -2.8793346182726e-06 , 1.58208749704243e-06
39, 9.999999999999999e-06 , 6.30957344480193e-06  , 1.1442807988482685e-13, 4.637788528225135e-20 , 1.7259420263106072e-27, 3.553852533811565e-10 , 6.284638561706417e-06 , 0.099975428536814 , 0.1000000031975435, 2.5957745473341237e-09, 2.9323499773639894e-12, 0.0002464700291694, 0.0001271471683427   , 2.45804240261093e-08
40, 5.623413251903491e-06 , 6.30957344480193e-06  , 3.591875384476358e-13 , 2.5880005618590675e-19, 1.7121600076918398e-26, 6.275137025771983e-10 , 6.2422225917046175e-06, 0.0999807707272353, 0.1000000031975435, 4.6203238119329185e-10, 9.27867805725842e-13  , 0.0002464700286683, 0.0001094540098777   , 6.67240144284836e-08
41, 3.162277660168379e-06 , 6.30957344480193e-06  , 1.1161811698233737e-12, 1.4303260851256013e-18, 1.6829538738920978e-25, 1.09642586060079e-09  , 6.132504708189121e-06 , 0.0999839502934867, 0.1000000031975435, 8.212969876266085e-11 , 2.933400285772192e-13 , 0.0002464700285096, 9.28028618859909e-05 , 1.75972212171738e-07
42, 1.7782794100389227e-06, 6.30957344480193e-06  , 3.381463302424464e-12 , 7.70931668865652e-18  , 1.6138519190998455e-24, 1.866973581792744e-09 , 5.869290594398159e-06 , 0.0999861481770313, 0.1000000031975435, 1.4583670380121576e-11, 9.267211998883636e-14 , 0.0002464700284593, 7.73262937095739e-05 , 4.3841347286719e-07
43, 1e-06                 , 6.30957344480193e-06  , 9.720919860878702e-12 , 3.944283438329149e-17 , 1.469484662811012e-23 , 3.0157186094050183e-09, 5.327065312322761e-06 , 0.0999881817025872, 0.1000000031975435, 2.587119215972652e-12 , 2.925828661528096e-14 , 0.0002464700284436, 6.29071502904131e-05 , 9.79483587198379e-07
44, 5.62341325190349e-07  , 6.30957344480193e-06  , 2.5729140164454924e-11, 1.8582244897984568e-16, 1.2322721339579932e-22, 4.484311498788896e-09 , 4.450201882066989e-06 , 0.0999904774054515, 0.1000000031975435, 4.587511201406618e-13 , 9.234699748878956e-15 , 0.0002464700284388, 4.94273575783851e-05 , 1.85486227983286e-06
45, 3.162277660168379e-07 , 6.30957344480193e-06  , 6.178262983546686e-11 , 7.941953784832302e-16 , 9.373959451041736e-22 , 6.0498952177454404e-09, 3.373202187571888e-06 , 0.0999929454032271, 0.1000000031975435, 8.13597266024348e-14  , 2.915039571120914e-15 , 0.0002464700284374, 3.70195601224888e-05 , 2.9302601651677e-06
46, 1.7782794100389227e-07, 6.30957344480193e-06  , 1.3428975916617402e-10, 3.072250538244448e-15 , 6.4536341877360114e-21, 7.388744311227105e-09 , 2.314787178299977e-06 , 0.0999952568093498, 0.1000000031975435, 1.4432706970700886e-14, 9.203155782859008e-16 , 0.0002464700284369, 2.5919153136205e-05  , 3.98726363675421e-06
47, 1e-07                 , 6.30957344480193e-06  , 2.5987790418874707e-10, 1.0580589851999048e-14, 3.955339378522252e-20 , 8.034697434070228e-09 , 1.414432022996973e-06 , 0.099997202604107 , 0.1000000031975435, 2.560735041234055e-15 , 2.9059051227481153e-16, 0.0002464700284368, 1.62060161267261e-05 , 4.88684709008457e-06
48, 5.6234132519034905e-08, 6.30957344480193e-06  , 4.3105602382341445e-10, 3.1229819451895566e-14, 2.077486203509448e-19 , 7.489246544509647e-09 , 7.408916692793671e-07 , 0.0999986980395407, 0.1000000031975435, 4.544405352581713e-16 , 9.176768388959787e-17 , 0.0002464700284366, 7.82640537551385e-06 , 5.5607615750459e-06
